email,displayName,password
lorenzo.rossi@example.com,Lorenzo Rossi,Password123
martina.bianchi@example.com,Martina Bianchi,Password123
alessandro.verdi@example.com,Alessandro Verdi,Password123
giulia.neri@example.com,Giulia Neri,Password123
marco.russo@example.com,Marco Russo,Password123
elena.conti@example.com,Elena Conti,Password123
davide.greco@example.com,Davide Greco,Password123
sara.ferrari@example.com,Sara Ferrari,Password123
federico.martini@example.com,Federico Martini,Password123
chiara.romano@example.com,Chiara Romano,Password123
matteo.galli@example.com,Matteo Galli,Password123
valentina.costa@example.com,Valentina Costa,Password123
luca.deluca@example.com,Luca De Luca,Password123
francesca.sala@example.com,Francesca Sala,Password123
simone.ferrara@example.com,Simone Ferrara,Password123
giovanna.lombardi@example.com,Giovanna Lombardi,Password123
nicola.bruno@example.com,Nicola Bruno,Password123
arianna.villa@example.com,Arianna Villa,Password123
emanuele.costa@example.com,Emanuele Costa,Password123
silvia.monti@example.com,Silvia Monti,Password123
